vehicle_id,Hired Status
SHF363B,Hired
SHF365X,Hired
SHF369K,Hired
SHF370E,Hired
SHF372A,Hired
SHF373Y,Hired
SHF376P,Hired
SHF377L,Hired
SHF378J,Hired
SHF379G,Hired
SHF37T,Hired
SHF380B,Hired
SHF381Z,Hired
SHF382X,Hired
SHF385M,Hired
SHF387H,Hired
SHF38R,Hired
SHF390Y,Hired
SHF392S,Hired
SHF394L,Hired
SHF396G,Hired
SHF399Z,Hired
SHF39M,Hired
SHF3R,Hired
SHF404S,Hired
SHF412T,Hired
SHF413R,Hired
SHF419A,Hired
SHF420U,Hired
SHF423L,Hired
SHF426D,Hired
SHF430R,Hired
SHF44Y,Hired
SHF468H,Hired
SHF473S,Hired
SHF477G,Hired
SHF479B,Hired
SHF485H,Hired
SHF486E,Hired
SHF487C,Hired
SHF489Y,Hired
SHF48L,Hired
SHF490S,Hired
SHF49J,Hired
SHF52Z,Hired
SHF59E,Hired
SHF5K,Hired
SHF60A,Hired
SHF61Y,Hired
SHF64P,Hired
SHF65L,Hired
SHF69B,Hired
SHF73M,Hired
SHF74K,Hired
SHF77C,Hired
SHF7E,Hired
SHF81P,Hired
SHF84G,Hired
SHF85D,Hired
SHF86B,Hired
SHF88X,Hired
SHF8C,Hired
SHF92H,Hired
SHF93E,Hired
SHF96Y,Hired
SHF98S,Hired
SHF99P,Hired
SHB100P,Unhired
SHB103G,Unhired
SHB1044L,Unhired
SHB106Z,Unhired
SHB108T,Unhired
SHB1102C,Unhired
SHB1103A,Unhired
SHB1132R,Unhired
SHB1151K,Unhired
SHB1156Y,Unhired
SHB1182X,Unhired
SHB123Z,Unhired
SHB1275L,Unhired
SHB1288A,Unhired
SHB1314H,Unhired
SHB1321L,Unhired
SHB1336U,Unhired
SHB1413E,Unhired
